"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"C1";"0.01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"C";
"C2";"0.01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"C";
"C3";"0.01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"C";
"C8";"0.01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"C";
"C9";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"C";
"C10";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"C";
"IC1";"74LS245DW";"74LS245DW";"SO20W";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";"";
"IC2";"74LVC245DW";"74LS245DW";"SO20W";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";"";
"IC3";"74LS138D";"74LS138D";"SO16";"3-line to 8-line DECODER/DEMULTIPLEXER";"";"";"";"";"";
"JP1";"CHIP_U13";"PINHD-2X20";"2X20";"PIN HEADER";"";"";"";"";"";
"JP2";"CHIP_U14";"PINHD-2X20";"2X20";"PIN HEADER";"";"";"";"";"";
"JP3";"TTL_SERIAL";"PINHD-1X3/90";"1X03/90";"PIN HEADER";"";"";"";"";"";
"JP4";"5V_IN";"JACK-PLUG1";"SPC4078";"DC POWER JACK";"";"";"unknown";"unknown";"";
"JP5";"Z8530";"PINHD-2X17";"2X17";"PIN HEADER";"";"";"";"";"";
"LED1";"/INT";"LED3MM";"LED3MM";"LED";"";"";"";"";"";
"LED2";"/WAIT";"LED3MM";"LED3MM";"LED";"";"";"";"";"";
"LED3";"/422_EN";"LED3MM";"LED3MM";"LED";"";"";"";"";"";
"OSC1";"4-6MHz";"XO-SMD";"SG5032";"Surface mount xtal oscillator in SG5032 package";"";"";"";"";"";
"Q1";"2N7002";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q2";"2N7002";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"R1";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R2";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R3";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R4";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R5";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R6";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R7";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
